Table 1 - Climate laws and their effect on emission																																									
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)
VARIABLES	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2
																																									
L.P_Demonstrationproject_CmY3R						-0.00701***																																			
						(0.00116)																																			
L.P_Endorsementlabel_Y3R							-0.00437																																		
							(0.00488)																																		
L.P_Endorsementlabel_CmY3R							-0.02185***																																		
							(0.00385)																																		
L.P_Energyandothertaxes_Y3R								-0.00069																																	
								(0.00752)																																	
L.P_Energyandothertaxes_CmY3R								-0.03707***																																	
								(0.00546)																																	
L.P_Feedintariffsorpremiums_Y3R									-0.00626																																
									(0.00523)																																
L.P_Feedintariffsorpremiums_CmY3R									-0.01792***																																
									(0.00344)																																
L.P_Formallegallybindingcli_Y3R										-0.01496																															
										(0.01002)																															
L.P_Formallegallybindingcli_CmY3R										-0.05816***																															
										(0.01142)																															
L.P_FormallegallybindingGHG_Y3R											-0.10212***																														
											(0.01311)																														
L.P_FormallegallybindingGHG_CmY3R											-0.22483***																														
											(0.01483)																														
L.P_Formallegallybindingren_Y3R												-0.06356***																													
												(0.01007)																													
L.P_Formallegallybindingren_CmY3R												-0.14300***																													
												(0.01308)																													
L.P_Fundstosubnationalgover_Y3R													-0.00390																												
													(0.00339)																												
L.P_Fundstosubnationalgover_CmY3R													-0.02545***																												
													(0.00355)																												
L.P_GHGemissionreductioncre_Y3R														0.03305***																											
														(0.01113)																											
L.P_GHGemissionreductioncre_CmY3R														-0.01559***																											
														(0.00593)																											
L.P_GHGemissionsallowances_Y3R															-0.00447																										
															(0.01040)																										
L.P_GHGemissionsallowances_CmY3R															-0.04677***																										
															(0.00672)																										
L.P_Grantsandsubsidies_Y3R																-0.00132																									
																(0.00191)																									
L.P_Grantsandsubsidies_CmY3R																-0.00736***																									
																(0.00106)																									
L.P_Greencertificates_Y3R																	-0.01144																								
																	(0.00784)																								
L.P_Greencertificates_CmY3R																	-0.04087***																								
																	(0.00610)																								
L.P_Gridaccessandpriorityfo_Y3R																		-0.00422																							
																		(0.01272)																							
L.P_Gridaccessandpriorityfo_CmY3R																		-0.00092																							
																		(0.01218)																							
L.P_Informationprovision_Y3R																			0.00306*																						
																			(0.00160)																						
L.P_Informationprovision_CmY3R																			-0.00266***																						
																			(0.00055)																						
L.P_Infrastructureinvestmen_Y3R																				-0.00114																					
																				(0.00435)																					
L.P_Infrastructureinvestmen_CmY3R																				-0.01112***																					
																				(0.00313)																					
L.P_Institutionalcreation_Y3R																					-0.00212																				
																					(0.00461)																				
L.P_Institutionalcreation_CmY3R																					-0.00887***																				
																					(0.00323)																				
L.P_Loans_Y3R																						-0.00413																			
																						(0.00537)																			
L.P_Loans_CmY3R																						-0.01482***																			
																						(0.00274)																			
L.P_Monitoring_Y3R																							0.00453																		
																							(0.00484)																		
L.P_Monitoring_CmY3R																							-0.00955***																		
																							(0.00297)																		
L.P_Negotiatedagreementspub_Y3R																								0.01039***																	
																								(0.00264)																	
L.P_Negotiatedagreementspub_CmY3R																								-0.00247***																	
																								(0.00082)																	
L.P_Obligationschemes_Y3R																									-0.03125***																
																									(0.00527)																
L.P_Obligationschemes_CmY3R																									-0.05157***																
																									(0.00476)																
L.P_Othermandatoryrequireme_Y3R																										0.00833*															
																										(0.00468)															
L.P_Othermandatoryrequireme_CmY3R																										-0.00767***															
																										(0.00284)															
L.P_Politicalnonbindingclim_Y3R																											0.02734***														
																											(0.00871)														
