Table 1 - Climate laws and their effect on emission																																									
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)
VARIABLES	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2
																																									
lnco2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)
	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L.P_Adviceoraidinimplementa_Y3R	0.00202																																								
	(0.00171)																																								
	0.23779																																								
L.P_Adviceoraidinimplementa_CmY3R	-0.00373***																																								
	(0.00068)																																								
	0.00000																																								
L.P_GHGemissionsallowances_CmY3R															-0.04677***																										
															(0.00672)																										
															0.00000																										
L.P_Grantsandsubsidies_Y3R																-0.00132																									
																(0.00191)																									
																0.48842																									
L.P_Grantsandsubsidies_CmY3R																-0.00736***																									
																(0.00106)																									
																0.00000																									
L.P_Greencertificates_Y3R																	-0.01144																								
																	(0.00784)																								
																	0.14494																								
L.P_Greencertificates_CmY3R																	-0.04087***																								
																	(0.00610)																								
																	0.00000																								
L.P_Gridaccessandpriorityfo_Y3R																		-0.00422																							
																		(0.01272)																							
																		0.73977																							
L.P_Gridaccessandpriorityfo_CmY3R																		-0.00092																							
																		(0.01218)																							
																		0.93997																							
L.P_Informationprovision_Y3R																			0.00306*																						
																			(0.00160)																						
																			0.05656																						
L.P_Informationprovision_CmY3R																			-0.00266***																						
																			(0.00055)																						
																			0.00000																						
L.P_Infrastructureinvestmen_Y3R																				-0.00114																					
																				(0.00435)																					
																				0.79257																					
L.P_Infrastructureinvestmen_CmY3R																				-0.01112***																					
																				(0.00313)																					
																				0.00039																					
L.P_Institutionalcreation_Y3R																					-0.00212																				
																					(0.00461)																				
																					0.64592																				
L.P_Institutionalcreation_CmY3R																					-0.00887***																				
																					(0.00323)																				
																					0.00601																				
L.P_Loans_Y3R																						-0.00413																			
																						(0.00537)																			
																						0.44152																			
L.P_Loans_CmY3R																						-0.01482***																			
																						(0.00274)																			
																						0.00000																			
L.P_Monitoring_Y3R																							0.00453																		
																							(0.00484)																		
																							0.34954																		
L.P_Monitoring_CmY3R																							-0.00955***																		
																							(0.00297)																		
																							0.00132																		
L.P_Negotiatedagreementspub_Y3R																								0.01039***																	
